1.25,1.25.1,2023-08-28
1.24,1.24.5,2023-07-28
1.23,1.23.20,2023-02-28
1.22,1.22.14,2022-10-28
1.21,1.21.14 ,2022-06-28
1.20,1.20.15,2022-02-28
1.19,1.19.16, 2021-10-28
1.18,1.18.20,2021-06-18
1.18,1.18.19,2021-05-12
1.17,1.17.17,2021-01-13
1.16,1.16.15,2020-09-02
1.15,1.15.12,2020-05-06
1.14,1.14.10,2019-12-11
1.13,1.13.12,2019-10-15
1.12,1.12.10,2019-07-08
1.11,1.11.10,2019-05-01
1.10,1.10.13,2019-02-13
1.9,1.9.11,2018-09-29
1.8,1.8.15,2018-07-12
1.7,1.7.16,2018-04-04
1.6,1.6.13,2017-11-23
1.5,1.5.8,2017-10-01
1.4,1.4.12,2017-04-21
1.3,1.3.10,2016-11-01
1.2,1.2.7,2016-10-23
